sku;imagen_1;imagen_2;nombre;marca;categoria;rubro;genero;talla;color;cantidad;precio;moneda;codigo_interno;codigo_barras
IQ2390900;IQ2390900-1.webp;IQ2390900-2.webp;NIKE PHANTOM 6 HIGH ACAD FG BLANCO/ROSA;NIKE;Calzado deportivo;Calzados;hombre;8;BLANCO;1;700000;PYG;21512;198729741615
IQ2390900;IQ2390900-1.webp;IQ2390900-2.webp;NIKE PHANTOM 6 HIGH ACAD FG BLANCO/ROSA;NIKE;Calzado deportivo;Calzados;hombre;10.5;BLANCO;1;700000;PYG;21512;198729743725
IQ2390900;IQ2390900-1.webp;IQ2390900-2.webp;NIKE PHANTOM 6 HIGH ACAD FG BLANCO/ROSA;NIKE;Calzado deportivo;Calzados;hombre;10;BLANCO;2;700000;PYG;21512;198729746733
IQ2390900;IQ2390900-1.webp;IQ2390900-2.webp;NIKE PHANTOM 6 HIGH ACAD FG BLANCO/ROSA;NIKE;Calzado deportivo;Calzados;hombre;9;BLANCO;1;700000;PYG;21512;198729744456
IQ2390900;IQ2390900-1.webp;IQ2390900-2.webp;NIKE PHANTOM 6 HIGH ACAD FG BLANCO/ROSA;NIKE;Calzado deportivo;Calzados;hombre;9.5;BLANCO;2;700000;PYG;21512;198729743855
JQ8645;JQ8645-1.webp;JQ8645-2.webp;ADIDAS GALAXY STAR 2.0 U NEGRO/BLANCO;ADIDAS;Calzado deportivo;Calzados;hombre;11;NEGRO;1;550000;PYG;21459;4068801803417
JQ8645;JQ8645-1.webp;JQ8645-2.webp;ADIDAS GALAXY STAR 2.0 U NEGRO/BLANCO;ADIDAS;Calzado deportivo;Calzados;hombre;9.5;NEGRO;1;550000;PYG;21459;4068801803349
M8801ZT;M8801ZT-1.webp;M8801ZT-2.webp;New Balance 880 Gris/Verde;NEW BALANCE;Calzado deportivo;Prendas;hombre;11.5;Gris;1;970000;PYG;20526;198688724391
M8801ZT;M8801ZT-1.webp;M8801ZT-2.webp;New Balance 880 Gris/Verde;NEW BALANCE;Calzado deportivo;Prendas;hombre;7.5;Gris;1;970000;PYG;20526;198688723646
M8801ZT;M8801ZT-1.webp;M8801ZT-2.webp;New Balance 880 Gris/Verde;NEW BALANCE;Calzado deportivo;Prendas;hombre;9.5;Gris;2;970000;PYG;20526;198688723981
